,hidden_units,num_layers,sequence_lengths,MSE,RMSE,MAE,MAPE,R2
0,10,1,12,1.7498581427053483e-05,0.004183130577337203,0.003128539197172971,0.7486155995934536,0.6569550903440448
0,10,1,18,1.8995730253173754e-05,0.00435840914247088,0.003515189832592828,0.8190450947040948,0.6276047520929726
0,10,1,24,1.8742746201523028e-05,0.004329289341395771,0.00340209729069475,0.9686184351105539,0.6325642907564182
0,10,2,12,1.7239080577051466e-05,0.004151997179316415,0.00332790545661306,0.9030930985745346,0.6620423853351094
0,10,2,18,1.7379768627912214e-05,0.004168904967483933,0.0034364959228246708,1.0005732296107794,0.6592843149224654
0,10,2,24,1.7618799654751354e-05,0.004197475390606996,0.0032337663915907237,0.7081629665247322,0.6545983135257905
0,10,3,12,1.5875705014779625e-05,0.0039844328347682844,0.002963615953224604,0.6069477545139598,0.6887702117327166
0,10,3,18,1.689934989053852e-05,0.004110881887203587,0.0031170916616907593,0.7570301609410042,0.6687025185092197
0,10,3,24,1.9121072281091298e-05,0.004372764832584906,0.003341876464494705,1.1537885975697217,0.6251475274989498
0,12,1,12,1.4565867734356715e-05,0.003816525610336804,0.0028991117904000664,0.6900029511673856,0.7144484653328624
0,12,1,18,1.5105389983105313e-05,0.0038865653195469794,0.0030179206960602796,0.7961378018488251,0.7038715873241571
0,12,1,24,1.4938393394516175e-05,0.0038650217844814505,0.0029004924762870274,0.6699183083967156,0.7071454143988962
0,12,2,12,1.3938265496012771e-05,0.003733398652168393,0.002769232441914793,0.65276815001496,0.7267520771456302
0,12,2,18,1.6143724417414264e-05,0.004017925387238328,0.002990801575988074,0.7080832561806171,0.6835159177120199
0,12,2,24,1.5635474256889204e-05,0.003954171753590024,0.003006587409869421,0.6792362675923552,0.6934797328433646
0,12,3,12,1.2472215464480588e-05,0.003531602393316749,0.0026375602829341333,0.6297056614063256,0.7554927497947017
0,12,3,18,1.6153906067286557e-05,0.004019192215767561,0.0030496803281132466,0.8634299105445233,0.6833163150656483
0,12,3,24,1.6535155702535846e-05,0.004066344267586778,0.0030990268667856814,0.8305591652527516,0.6758422379682751
0,14,1,12,1.2463571001079738e-05,0.0035303783084932607,0.0025191165656201276,0.5930035302009222,0.7556622171986014
0,14,1,18,1.4487734248743034e-05,0.00380627564014261,0.0026823975594481575,0.605297806718377,0.7159802063271359
0,14,1,24,1.456668412443094e-05,0.0038166325634557668,0.0027884049558715485,0.5769749968920014,0.7144324606949766
0,14,2,12,1.247939395632371e-05,0.0035326185693227213,0.0025995870001004153,0.5821540181651925,0.7553520215250386
0,14,2,18,1.1354670229321707e-05,0.0033696691572499674,0.0025525432160846202,0.6462819582858119,0.7774012802564236
0,14,2,24,1.3914333731683487e-05,0.003730192184282666,0.002924974889805465,0.5986944057987651,0.7272212391726476
0,14,3,12,1.533421926033841e-05,0.003915893162528622,0.002829527863379174,0.6963095222248091,0.6993855826121578
0,14,3,18,1.4335509798228623e-05,0.003786226326862754,0.002744609856766563,0.7435159860455278,0.7189644381113998
0,14,3,24,1.7726336124861796e-05,0.0042102655646481255,0.0032490492890851854,0.9614082132292945,0.6524901518540835
