,n_estimators,max_samples,MSE,RMSE,MAE,MAPE,R2
0,10,0.5,3.924639466477055e-05,0.006264694299386886,0.00476611762451437,1.0353240079244128,0.23060757992168257
0,10,0.6,4.22997511700873e-05,0.006503825887128845,0.005082127277852828,1.361140644627172,0.17074910448581493
0,10,0.7,4.0486137774302084e-05,0.006362871818157433,0.004994060245545898,1.5890486577377412,0.20630346334064775
0,10,0.8,3.807503179388325e-05,0.006170496883872744,0.004664099646359901,1.4159361843798328,0.25357115967773225
0,10,0.9,3.8256228773357674e-05,0.006185161984407334,0.004773955902042998,1.2264382360088093,0.250018945933272
0,20,0.5,3.934390714966643e-05,0.006272472172091832,0.0048747664351466305,1.03594672797072,0.2286959300138952
0,20,0.6,3.761018608427665e-05,0.00613271441404837,0.004757615956015579,1.2287769541117284,0.2626840672080204
0,20,0.7,3.8535553477978784e-05,0.006207701142772483,0.004901064074333084,1.4500706715993938,0.2445430210155366
0,20,0.8,3.7128278633335074e-05,0.006093297845447494,0.004751435873008089,1.4062330302669899,0.27213145576691233
0,20,0.9,3.630276580998294e-05,0.006025177657960215,0.004714462443762666,1.190844651163842,0.2883149374443954
0,50,0.5,4.018094339825989e-05,0.006338844011194777,0.004971123494938344,1.1724122414103861,0.21228654131718805
0,50,0.6,3.6491881698110254e-05,0.006040851073988686,0.004767516998602786,1.1747711083203138,0.2846074801840691
0,50,0.7,3.774968426781024e-05,0.00614407716974732,0.004877055454002297,1.3168184212646734,0.2599493231393689
0,50,0.8,3.3960847026271544e-05,0.00582759358794619,0.004519659719672591,1.2724236442264198,0.334226277225219
0,50,0.9,3.120921811664892e-05,0.005586521110373514,0.0044198089509926665,1.0920350332416466,0.3881696379852433
0,100,0.5,3.81884712659344e-05,0.006179682133082121,0.0048845268206859655,1.1125876204113019,0.25134727463862605
0,100,0.6,3.714551507492185e-05,0.006094712058409475,0.004815570086292309,1.189476809452461,0.2717935498874229
0,100,0.7,3.789147268793625e-05,0.0061556049814730845,0.004828749397343272,1.2687785026730583,0.25716968091664627
0,100,0.8,3.4414652534633945e-05,0.005866400304670143,0.0046598168945212355,1.2430450287064754,0.3253298035158202
0,100,0.9,3.195883818892248e-05,0.0056532148543039186,0.004470734961054676,1.1451237653619617,0.37347396959398704
0,200,0.5,3.9237889748219794e-05,0.0062640154651964096,0.004961313626801361,1.135207728646965,0.23077431162744666
0,200,0.6,3.745661689518475e-05,0.006120181116207653,0.004839526597222179,1.201265014482492,0.2656946614563359
0,200,0.7,3.696774887900333e-05,0.006080110926537717,0.004821938833118251,1.2300842174854891,0.2752785060178936
0,200,0.8,3.3064187489696126e-05,0.0057501467363621364,0.004591906188511047,1.2091478868667047,0.3518045301252576
0,200,0.9,3.2646742458132456e-05,0.005713732795479016,0.004580713024871632,1.2112468693215335,0.35998818739690874
